,,,,,,,,Navigation is DOWN unless changed by Conditional Navigation,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Screen ID,Screen_ID,JSON filename,JSON Review 1,Review 1 Notes,Arturo To Do,Global Variable(s),Scope,Stage,Section,Screen Name,Title,Description,Label,Component(s) Name(s),Component type,Options,Data Format,Default Value,Hard Min / Soft Min,Soft Max / Hard Max,Conditional Nav (Linear),Conditional Nav (Non-Linear),Tips,Tip Link 1 - Label : URL,Tip Link 2 - Label : URL,Small Print,References,Source,Notes,Data Transformation,Appearance on RPA,Appearance on Other Form,Help Topic,Help Context,Additional Terms & Conditions
,,,,,,,,Basics,,,,,,,,,,,,,,,,,,,,,,,,,,,
372a02da-a06b-47fd-84da-fd6b8964ecfc,a129a8e1-0793-4b5c-bb1a-419c2836be50,screen_template_372a02da-a06b-47fd-84da-fd6b8964ecfc_customer_nickname.json,TH,,,null,"""scope"": {}",Basics,Welcome,screen_customer_nickname,What's your first name?,Just give us your preferred first name. We'll get the rest later.,Nickname,customer_nickname,Text Box,,Text,Null,NA,NA,,,,,,,,custumer input,,NA,NA,NA,,,
8925a105-23b8-4261-93bb-b8e6a7f9a99f,1515e467-410a-429d-a9a1-8cfd1fad222d,screen_template_8925a105-23b8-4261-93bb-b8e6a7f9a99f_found_property.json,TH,,add the customer_nickname value to the Title as in this row.,found_property_no,"""scope"": { }",Basics,Welcome,screen_found_property,Hi {{customer_nickname}}! Have you found a Property Yet?,You'll need to identify a Property before creating an offer.,Found Property?,"found_property_yes, found_property_no",Choice,"Yes, No",Boolean,NA,NA,NA,"IF FALSE, THEN property search website page",,,,,,,,Can we dynamically put the customer's name on the screen? This Component name/value does not need to be stored. it is only for navigation.,NA,NA,NA,,,
,a19ee52d-7974-4c94-874a-45378df5fbe5,screen_template_a19ee52d-7974-4c94-874a-45378df5fbe5_found_property_no.json,TH,,Need to add a property_found_no screen to show resources for users to find a property online. Should be a deadend to the offer creation flow.,,,,,screen_found_property_no,,,,,,,,,,,,,,,,,,,,,,,,,
ad062fcb-1ab8-4d85-bca8-03048c4fe0b7,1f76babc-64b6-4ad5-af76-a7cf29e3707c,screen_template_ad062fcb-1ab8-4d85-bca8-03048c4fe0b7_property_type.json,TH,,,null,"""scope"": {}",Basics,Welcome,screen_property_type,What kind of Property are you buying?,Don't worry if you're not sure. You can change this later.,Property Type,"property_type_home, property_type_townhome, property_type_condo",Choice,"House, Condominium, Townhome",Text,house,NA,NA,,,"Condominiums and Townhomes are typically, but not always, attached to other units in a building or complex and share common areas like walkways, courtyards, and decks with other owners. Stand-alone Homes typically don't share any aspects of the Property with other owners.",,,,,customer selection,,NA,NA,NA,,,
f78f5aff-b878-4d22-a888-6b93202c1baf,289152fb-3cb8-4585-9e73-137b3ba737b7,screen_template_f78f5aff-b878-4d22-a888-6b93202c1baf_property_zip.json,TH,compares zip_code_not_serviced with value of global.serviced_zip_codes,Need a screen for when the zip code is out of our service area. Deadend to offer creation flow.,zip_code_not_serviced,"""scope"": {}",Basics,Welcome,screen_property_zip,What's the Zip code of the Property you are interested in?,Just give us the first 5 digits please.,Property Zip,property_zip,Text Box,,Zip Code Number,null,Need mechanism for range of Zip codes,,"IF not in service area, THEN pop-up message with option to sign up for notifications",if property_zip is not in service area we tell them and drop them on learning page.,,,,,,customer input,,NA,NA,CR-B,,,
,b9a7b42f-4c12-4a09-9691-501a0196558d,screen_template_b9a7b42f-4c12-4a09-9691-501a0196558d_property_zip_out_of_service.json,,,,,,,,screen_zip_code_not_serviced,,,,,,,,,,,,,,,,,,,,,,,,,
7175e266-58c2-481c-9e68-ed56297c4b1f,36f88804-2bc6-41c4-97ba-b921c6bac1f5,screen_template_7175e266-58c2-481c-9e68-ed56297c4b1f_property_address.json,TH,added property_address2 to template after street_address,check code,null,"""scope"": {}",Basics,Welcome,screen_property_address,Please enter the full address of the Property,Make sure this is the property's physical address and not just a mailing address.,Property Address,property_address / property_address2 / property_city / property_county / property_state,Text Boxes,,Text,null,NA,NA,,,,,,,,customer input,"Will we collect this on multiple screens?

County should populate automatically based on address, city, state, zip",concatenate property_address / property_address2 / property_city / property_state / property_zip,concatenated text box with separate field for county,CR-B,,,
7481ef98-1e01-4247-9928-9ed70dbcb9a7,e4a2616b-fdd8-4d66-a5cc-e6f37871a637,screen_template_7481ef98-1e01-4247-9928-9ed70dbcb9a7_property_mls.json,TH,,,null,"""scope"": {}",Basics,Welcome,screen_property_mls,Multiple Listing Service Number,What is the MLS listing number for this property?,MLS Number,property_mls,text box,,text,null,NA,NA,,,"If you don't know the MLS Number or this Property has not been listed on the MLS, leave this blank.",,,,,customer input,only for Seller Information lookup purposes,,NA,Introductory Letter to RPA: MLS,,,
dc95a968-fee1-4419-98a9-22ea1b59fc79,e96068d1-5b60-4dc8-8221-1614583dde14,screen_template_dc95a968-fee1-4419-98a9-22ea1b59fc79_property_listing_price.json,TH,removed global variable purchase_price as we calculate percentages and down payment based on purchase_price,check calculation,null,"""scope"": {}",Basics,Welcome,screen_property_listing_price,How much is the Property listed for?,Please enter the seller's asking price.,Asking Price,property_listing_price,Text Box,,Dollar Amount,null,NA,NA,,,,,,,,customer input,,NA,NA,NA,,,
90c249d5-57c9-4b7f-b656-c4afd0faf53d,690b76b9-f0f2-4408-8e69-ac1dfda63543,screen_template_90c249d5-57c9-4b7f-b656-c4afd0faf53d_purchase_price.json,TH,Added required global variable and changed calculations on applicable screens to use purchase_price rather than property_listing_price,"check code, add GUID for global variable",purchase_price,"""scope"": {}","Basics and
Competitive Edge",Welcome,screen_purchase_price,How much would you like to offer for the Property?,Enter the amount you'd like to pay for the Property.,Offer Price,purchase_price,Text Box,,Dollar Amount,null,NA,NA,,,,,,,,customer input,Need to calculate percentage of purchase price and throw warnings for soft min/max based on that rather than on value.,,text box,{{purchase_price}} on HBM Form FHA-MAC,purchase price,What do buyers need to know about the price they offer to buy the home. How do they know if it is too high or too low. What are some typical guidelines and are there any current trends for the area that would inform their decision on price?,
22be735a-59f1-4e90-b12f-1dc94412aa72,8ec42117-858b-43b5-994c-3210c18e0bda,screen_template_22be735a-59f1-4e90-b12f-1dc94412aa72_funds_type.json,TH,,,"funds_type_cash, funds_type_loan","""scope"": {}",Basics,Welcome,screen_funds_type,How would you like to pay for the Property?,You can pay in all cash or finance your purchase.,Funds Source,"funds_type_cash, funds_type_loan",Choice,"All Cash, Loan",Boolean,false,NA,NA,"IF All Cash = TRUE, THEN NEXT screen_listing_type","IF All Cash=TRUE, THEN skip future loan questions.",,,,,,customer selection,,"IF funds_type_cash = TRUE, THEN {{funds_type_cash}} IS ""X""",check box,NA,cash offers,How does a cash offer improve a buyer's chances (if any) of having the seller accept their offer? What does the buyer need to provide to prove that they have the required funds on hand?,
2cfd2280-66b1-4089-85e9-bf8d30f955d3,61f16107-13a1-455c-8251-6acf68488652,screen_template_2cfd2280-66b1-4089-85e9-bf8d30f955d3_first_loan_amount.json,TH,changed percentage and downpayment calculations to use purchase_price rather than property_listing_price,check calculation,null,"""scope"": {""funds_type_loan"": true}",Basics,Welcome,screen_first_loan_amount,How much do you intend on borrowing?,Enter the amount of the loan.,Loan Amount,"first_loan_amount,  first_loan_percent_of_price, down_payment_amount","Text Box, Text Box showing real-time % of Purchase Price calculation, and Text Box showing down payment amount",,Dollar Amount,.80 * purchase_price,NA,NA,0.1,,Down payments are typically 20% or more but can be less and even $0 for certain loans.,,,,,customer input,How will we show the percentage of price on this screen?,calculation for % of purchase price,text box + text box for %,NA,loan amount,Explanation of how the loan amount is the puchase price minus the down payment amount.,
a5848ea4-1f00-437a-b87c-7e9c7a45939c,8aea7b48-994a-432f-9353-6dd5dabb64e3,screen_template_a5848ea4-1f00-437a-b87c-7e9c7a45939c_first_loan_rate_type.json,TH,,,"first_loan_fixed, first_loan_adj","""scope"": {""funds_type_loan"": true}",Basics,Welcome,screen_first_loan_rate_type,Is your loan interest rate fixed or adjustable?,,Loan Rate Type,"first_loan_fixed, first_loan_adj",Choice,"Fixed, Adjustable",Boolean,fixed,NA,NA,,,,,,,,customer selection,,"IF first_loan_adj IS TRUE, THEN {{first_loan_adj}} IS ""X""",check box,NA,mortgage types,"Explanation of fixed or adjustable rate mortgages (5/1, 7/1, interest only, etc.), terms (15,30 year), etc.",
52f3533b-78f5-4b9f-93ef-3deeff8c1143,325f1d1b-a06e-4833-a727-02ff2e0dd4d5,screen_template_52f3533b-78f5-4b9f-93ef-3deeff8c1143_first_loan_rate.json,TH,,,null,"""scope"": {""funds_type_loan"": true}",Basics,Welcome,screen_first_loan_rate,What is the interest rate for your loan?,For adjustable rate loans give us your initial rate.,Loan Interest Rate,first_loan_rate,Text Box,,Percentage,null,NA,NA,,,,,,,,customer input,,"it appears that this is a whole number type in the json, so it can't be used as a %",text box,NA,,,
8a8fc7e3-e1a9-4f08-a311-f94ac4a0bed6,ea785610-1857-48c8-a278-f4887d3956bb,screen_template_8a8fc7e3-e1a9-4f08-a311-f94ac4a0bed6_first_loan_points.json,TH,moved up in the order,,null,"""scope"": {""funds_type_loan"": true}",Basics,Welcome,screen_first_loan_points,Will you be paying points to lower your interest rate?,Tell us how many points you plan to pay.,Loan Points,first_loan_points,pulldown menu or text box,,number,0,NA,NA,,,,,,,,pulldown menu?,not sure if values are standard enough for a pulldown menu,,text box,NA,,,
e3e00cfc-5367-499c-8a2f-f72667bc3db3,d48b7b67-3aba-4e08-941e-40c14a94ae38,screen_template_e3e00cfc-5367-499c-8a2f-f72667bc3db3_listing_type.json,TH,created listing_type_fsbo global variable,"check code, add GUID for global variable",listing_type_fsbo,"""scope"": {}",Basics,Your Property,screen_listing_type,Is this property for sale by owner?,It's important to know if the property is being sold through a real estate agent or directly by the seller.,Listing Type,"listing_type_agent, listing_type_fsbo",selection,"For Sale By Owner, Listed by a Real Estate Broker",boolean,Real Estate Broker,Any / RE Broker,RE Broker / Any,"IF listing_type_agent IS TRUE, NEXT screen_occupancy_type","IF listing_type_fsbo IS TRUE, THEN SKIP ALL Seller's Agent questions.",,,,,,,,,NA,,,,
9b87cbfa-dce9-43d9-8543-452ffebac1aa,d74faf07-62cd-4d82-8082-5b1def0f05e1,screen_template_9b87cbfa-dce9-43d9-8543-452ffebac1aa_fsbo_warning.json,TH,,,null,"""scope"": {""listing_type_fsbo"": true}",Basics,Your Property,screen_fsbo_warning,Things you should know about For Sale By Owner properties,,FSBO Tips,fsbo_warning,informational,NA,NA,NA,NA,NA,,,,,,,,,Need to inform buyer of risks of buying from FSBO and limits of what we can do.,,NA,Need a FSBO-specific form of the RPA,,,
